Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	AKIN	W. TODD		A	MO02	2011	7/19/2011	8203404
HONORABLE	AUSTRIA	STEVE		O	OH07	2011	5/24/2011	8201263
HONORABLE	BAIRD	BRIAN		T	WA03	2011	2/11/2011	9100042
HONORABLE	BALDWIN	TAMMY		O	WI02	2011	5/16/2011	8201515
HONORABLE	BASS	KAREN		A	CA33	2011	4/19/2012	8204945
	BAUER	ANDRE		O	SC00	2011	2/29/2012	8208996
	BEMBRY	LEONARD LEE		O	FL02	2011	1/5/2012	8207846
HONORABLE	BERG	RICK		A	ND00	2011	6/14/2012	8206310
HONORABLE	BERKLEY	SHELLEY		O	NV01	2011	5/13/2011	8203400
HONORABLE	BERMAN	HOWARD L.		O	CA28	2011	6/20/2011	8203119
	BLUM	RODNEY LELAND		O	IA01	2011	1/26/2012	8207896
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2011	5/12/2011	8201655
HONORABLE	BRALEY	BRUCE L.		O	IA01	2011	5/16/2011	8201658
	BRIDENSTINE	JAMES FREDERICK		A	OK01	2011	12/31/2012	8209600
HONORABLE	BROWN	HENRY		T	SC01	2011	5/12/2011	8200670
HONORABLE	BROWN-WAITE	GINNY		T	FL05	2011	5/6/2011	8200645
HONORABLE	BUERKLE	ANN MARIE		O	NY25	2011	8/15/2011	8203674
HONORABLE	BUTTERFIELD	G. K.		O	NC01	2011	5/12/2011	8201817
	CAESAR	JOSHUA C.		D	TX03	2011	2/1/2012	8207626
	CALDER	PATRICK D.		O	ME01	2011	2/15/2012	8207943
	CANTU	DAVID		O	TX15	2011	4/20/2012	8208086
HONORABLE	CARDOZA	DENNIS A.		A	CA18	2011	9/25/2012	8208825
	CASTLE	JASON-PAUL NEZMER		D	NJ10	2011	2/24/2012	8207740
	CEGAVSKE	BARBARA		O	NV04	2011	1/9/2012	8207848
HONORABLE	CHU	JUDY		A	CA32	2011	5/14/2012	8205087
HONORABLE	CHU	JUDY		O	CA32	2011	5/13/2011	8202496
	COOLIDGE	LESLIE		O	IL02	2011	2/2/2012	8207929
	COURTNEY	WILLIAM L.		O	CA02	2011	3/2/2012	8207991
HONORABLE	CUELLAR	HENRY		O	TX28	2011	5/23/2011	8202515
HONORABLE	CUMMINGS	ELIJAH E.		O	MD07	2011	5/23/2011	8202516
	DAY	TIMOTHY TERREL		O	TX14	2011	1/30/2012	8207898
HONORABLE	DEFAZIO	PETER A.		A	OR04	2011	6/22/2011	8203138
HONORABLE	DELAHUNT	BILL		T	MA10	2011	1/24/2011	8200125
	DEMEO	DOUGLAS ANTHONY		W	NJ04	2011	10/26/2012	8209328
HONORABLE	DIAZ-BALART	MARIO		O	FL21	2011	5/5/2011	8202532
	DOYLE	JERRY L.		O	TX36	2011	8/20/2012	8208548
	EATON	J. JACKSON		O	PA15	2011	1/6/2012	8207850
