Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	LAHOOD	RAY		O	IL18	2008	5/15/2008	8135896
HONORABLE	LAMBORN	DOUG		O	CO05	2008	5/15/2008	8135897
HONORABLE	LATHAM	TOM		O	IA04	2008	5/15/2008	8135902
HONORABLE	LEE	BARBARA		O	CA09	2008	5/15/2008	8135905
HONORABLE	LUCAS	FRANK D.		O	OK03	2008	5/13/2008	8135913
HONORABLE	MCHUGH	JOHN M.		O	NY23	2008	5/15/2008	8135925
HONORABLE	MCNULTY	MICHAEL R.		O	NY21	2008	5/14/2008	8135930
HONORABLE	NAPOLITANO	GRACE F.		O	CA38	2008	5/15/2008	8135959
HONORABLE	PALLONE	FRANK	JR.	O	NJ06	2008	5/15/2008	8135968
HONORABLE	RANGEL	CHARLES B.		O	NY15	2008	5/14/2008	8135746
HONORABLE	REGULA	RALPH		O	OH16	2008	5/15/2008	8135743
HONORABLE	REYNOLDS	THOMAS M.		O	NY26	2008	5/15/2008	8135748
HONORABLE	RICHARDSON	LAURA		A	CA37	2008	6/13/2008	8138332
HONORABLE	RODRIGUEZ	CIRO D.		O	TX23	2008	5/14/2008	8135751
HONORABLE	ROHRABACHER	DANA		O	CA46	2008	5/15/2008	8138333
HONORABLE	ROTHMAN	STEVEN R.		O	NJ09	2008	5/14/2008	8135757
HONORABLE	RUPPERSBERGER	C. A. DUTCH		A	MD02	2008	5/15/2009	8140043
HONORABLE	RYAN	TIM		O	OH17	2008	5/15/2008	8135761
HONORABLE	SANCHEZ	LINDA T.		O	CA39	2008	5/15/2008	8135763
HONORABLE	BARTLETT	ROSCOE G.		A	MD06	2008	6/24/2008	8138784
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2008	5/15/2008	8135612
HONORABLE	BLUNT	ROY		O	MO07	2008	5/15/2008	8135624
HONORABLE	BOUCHER	RICK		O	VA09	2008	5/9/2008	8135633
HONORABLE	BOYD	ALLEN		O	FL02	2008	6/11/2008	8138280
HONORABLE	CANTOR	ERIC		O	VA07	2008	5/15/2008	8135647
HONORABLE	CAPITO	SHELLEY MOORE		O	WV02	2008	5/15/2008	8135648
