"filename"	"num_pages"
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002301.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002109.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001145.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002505.pdf"	8
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001573.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002382.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000931.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002883.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001339.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001075.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002618.pdf"	5
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001977.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001304.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002097.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001853.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001695.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001768.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002228.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001980.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001693.pdf"	4
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001912.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001946.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001685.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001041.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002004.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002470.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001072.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001293.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002740.pdf"	23
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002074.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000838.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002240.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002853.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002689.pdf"	14
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002363.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001107.pdf"	6
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002246.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001787.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002962.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002907.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002133.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2003025.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002196.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001348.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001646.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002877.pdf"	13
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001933.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002294.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000983.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002970.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001165.pdf"	4
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000941.pdf"	4
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001508.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001997.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001130.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002098.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001205.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002908.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002638.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002643.pdf"	4
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001835.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002061.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001677.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002573.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001207.pdf"	25
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000911.pdf"	6
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001249.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002842.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001324.pdf"	6
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001533.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002467.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002273.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002632.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001436.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002324.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001906.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001148.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001259.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2003028.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002983.pdf"	12
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001155.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000835.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2003048.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001931.pdf"	7
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002929.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001401.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002041.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000891.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000878.pdf"	13
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002249.pdf"	6
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000918.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001527.pdf"	6
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002606.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002703.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002827.pdf"	3
"/home/blannon/og_data/financial_disclosures/PTR/2013/2000963.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001964.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001219.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002545.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002375.pdf"	2
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002979.pdf"	1
"/home/blannon/og_data/financial_disclosures/PTR/2013/2001106.pdf"	7
"/home/blannon/og_data/financial_disclosures/PTR/2013/2002437.pdf"	3
