Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	BUTTERFIELD	G. K.		O	NC01	2012	5/11/2012	8205382
	CADIEN	TAWANA LYNN		O	TX10	2012	7/23/2012	8208483
HONORABLE	CAPPS	LOIS		O	CA23	2012	5/9/2012	8205389
	CARGAS	JAMES P.		O	TX07	2012	5/7/2012	8208326
HONORABLE	CARSON	ANDRE		X	IN07	2012	5/17/2012	8206885
	CHAMBERLAIN	DON		O	AL07	2012	8/29/2012	8208552
	CHANDLER	MICHAEL		D	SC04	2012	11/7/2012	8209410
	CHAUVIN	ARLIN HUGH		D	TX06	2012	4/25/2012	8207732
	CHERNY	ANDREI		X	AZ09	2012	5/17/2012	8207069
	CHOI	JUN		O	NJ07	2012	5/23/2013	9103125
HONORABLE	CHRISTENSEN	DONNA M.		O	VI00	2012	5/11/2012	8205400
HONORABLE	CHU	JUDY		A	CA32	2012	5/17/2013	8210755
	CLARK	DAVID		O	UT02	2012	2/9/2012	8208097
HONORABLE	CLARKE	YVETTE D.		O	NY11	2012	5/15/2012	8205404
HONORABLE	COBLE	HOWARD		A	NC06	2012	6/21/2012	8206428
	COLLINS	ABEL GIFFORD		O	RI02	2012	10/18/2012	8209224
	COLLINS	DOUGLAS ALLEN		O	GA09	2012	10/17/2012	8209204
	COMBE	RYAN CHRISTOPHER		O	UT01	2012	5/25/2012	8208860
	ABOUD	PAULA ANN		O	AZ02	2012	5/23/2012	8208625
	ACOSTA	DANTE		O	CA25	2012	6/6/2012	8208712
	ADDIVINOLA	FRANK JOHN	JR.	O	MA05	2012	7/2/2012	8208455
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2012	6/6/2012	8206197
	AGUIRRE	AMANDA		O	AZ03	2012	5/18/2012	8208612
	ANDERSON	JASON PATRICK		D	IN05	2012	3/14/2012	8207716
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2012	5/14/2012	8205349
HONORABLE	BACHMANN	MICHELE		O	MN06	2012	8/14/2012	8207547
	BACIGALUPI	DEBBIE		O	CA14	2012	5/16/2012	8208392
	BAILEY	DEREK J.		W	MI01	2012	10/17/2012	8209284
	BARBER	RON		A	AZ08	2012	6/13/2013	8212253
HONORABLE	BARROW	JOHN		O	GA12	2012	5/15/2012	8205355
	BARTH	JEFF		O	SD01	2012	11/1/2012	8209388
	BEBO	DONNA MARIE		O	OK04	2012	4/27/2012	8208185
	BELLAVIA	DAVID GREGORY		O	NY27	2012	5/23/2012	8208629
HONORABLE	BERG	RICK		O	ND00	2012	6/14/2012	8206311
	BLACK	ROBERT HARRIS		O	FL04	2012	5/23/2012	8208633
	BLAHA	ROBERT B.		O	CO05	2012	5/23/2012	8208634
	BLUE	ANTONIO		O	NC08	2012	11/5/2012	8209389
	BOJOVIC	BRONCO		W	IL16	2012	2/13/2012	8207739
HONORABLE	BOREN	DAN		O	OK02	2012	7/20/2012	8206676
	BOROWSKY	LISA		O	AZ09	2012	7/27/2012	8208507
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2012	5/11/2012	9102115
	BOUTTE	MATTHEW ELLIOTT		O	CA24	2012	4/4/2012	8208048
HONORABLE	BRALEY	BRUCE L.		X	IA01	2012	7/3/2012	8206942
	BROOKS	SUSAN		O	IN05	2012	5/23/2012	8208883
HONORABLE	BUERKLE	ANN MARIE		T	NY25	2012	5/10/2013	8210294
HONORABLE	CALVERT	KEN		O	CA44	2012	5/11/2012	8205383
HONORABLE	CANSECO	FRANCISCO "QUICO"		A	TX23	2012	9/12/2012	8208304
HONORABLE	CANTOR	ERIC		O	VA07	2012	5/15/2012	8205386
HONORABLE	CARNEY	JOHN C.	JR.	O	DE00	2012	5/15/2012	8205392
	CARVIN	JOSEPH		A	NY17	2012	7/10/2012	8208988
HONORABLE	CASSIDY	BILL		O	LA06	2012	5/23/2012	8205395
	CASSIS	NANCY		O	MI11	2012	8/1/2012	8208943
	CASTANEDA	CHRYSTA		O	TX33	2012	5/7/2012	8208327
	CASTRO	JOAQUIN		O	TX20	2012	5/15/2012	8208944
	CHEADLE	GREGORY E. J.		O	CA01	2012	5/18/2012	8208945
	CHILDS	ELIZABETH		O	MA04	2012	5/21/2012	8208615
	CHIVUKULA	UPENDRA J.		O	NJ07	2012	5/17/2012	8208599
	CINO	MICHAEL J.		O	NJ05	2012	5/16/2012	8208600
HONORABLE	CLAY	WM. LACY		O	MO01	2012	5/8/2012	8205405
	CODY	KENNETH J.		D	NJ12	2012	11/15/2012	8209435
	COLLINS	FREDERICK		O	IL01	2012	5/21/2012	8208616
	COOK	PAUL		A	CA08	2012	12/21/2012	8209588
	COOK	PAUL		O	CA08	2012	3/12/2012	8208020
	COSTELLO	ROBERT K.		D	MI14	2012	6/20/2012	8207734
	COURTNEY	JONATHAN T. E.		O	ME01	2012	5/24/2012	8208381
	CROOKS	DAVID L.		X	IN08	2012	5/16/2012	8207072
	CROSS	JANE		D	TX15	2012	2/17/2012	8207735
HONORABLE	CUMMINGS	ELIJAH E.		O	MD07	2012	5/21/2012	8205424
HONORABLE	CUMMINGS	ELIJAH E.		A	MD07	2012	6/26/2012	8206443
	AGUILAR	GREGORIO MIGUEL		W	IL17	2012	10/24/2012	8209327
HONORABLE	AKIN	W. TODD		A	MO02	2012	10/2/2012	8209053
HONORABLE	ALTMIRE	JASON		O	PA04	2012	5/9/2012	8205346
HONORABLE	AMASH	JUSTIN		O	MI03	2012	5/15/2012	8205347
	ANDERSON	DAVID CHARLES		O	CO05	2012	5/23/2012	8208920
	AYCOCK	ELMO MURRY	III	O	TX34	2012	5/4/2012	8208154
	BAECHLER	MARY		D	WA04	2012	5/23/2012	8206164
	BARNES	BRIAN PATRICK		O	MN03	2012	5/24/2012	8208628
	BARR	GARLAND HALE "ANDY"	IV	A	KY06	2012	12/19/2012	8209564
	BEAVAN	COLIN		D	NY08	2012	6/20/2012	8207719
	BEAVAN	COLIN		D	NY08	2012	8/6/2012	8206975
	BEAVAN	COLIN		X	NY08	2012	9/26/2012	8209023
	BECKER	RICHARD H.		O	NY18	2012	6/4/2012	8208821
	BEMBY	LEONARD LEE		O	FL02	2012	11/7/2012	8209420
	BERA	AMERISH B.		O	CA07	2012	5/24/2012	8208415
	BERNS	JAMES (JIM) A.		O	OH01	2012	4/30/2012	8208129
	BEST	RUSSELL JAMES		O	NV02	2012	5/2/2012	8208143
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2012	11/2/2012	8209405
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2012	5/11/2012	8205368
HONORABLE	BLACK	DIANE		X	TN06	2012	5/8/2012	8206851
HONORABLE	BLACK	DIANE		O	TN06	2012	8/13/2012	8207466
HONORABLE	BLACKBURN	MARSHA		A	TN07	2012	11/16/2012	8209431
	BLUE	ANTONIO		D	NC08	2012	9/13/2012	8208759
HONORABLE	BOEHNER	JOHN A.		O	OH08	2012	5/11/2012	8205371
	BOOCKVAR	KATHRYN		O	PA08	2012	3/28/2012	8207999
	BRADLEY	WES		O	TN08	2012	7/25/2012	8208508
	BRADSHAW	PAULA		O	IL12	2012	10/16/2012	8209203
	BRESSO	GINEEN		O	FL20	2012	5/23/2012	8208636
DR.	BROOKS	JANIS C.		O	PA14	2012	3/30/2012	8208049
	BROOKS	JOHN L.	II	O	CA51	2012	5/9/2012	8208335
	BROOKS	LEON PRESTON	JR.	O	MI08	2012	8/23/2012	8208550
HONORABLE	BUCHANAN	VERN		O	FL13	2012	5/15/2012	8206224
	BUECHLER	JERRY LEE		D	FL18	2012	4/16/2012	8207730
	BUSTAMANTE	JOHN M.		O	TX23	2012	11/2/2012	8209391
HONORABLE	CAMP	DAVE		O	MI04	2012	5/15/2012	8205384
HONORABLE	CANSECO	FRANCISCO "QUICO"		X	TX23	2012	5/22/2012	8206884
	CARVIN	JOSEPH		O	NY17	2012	5/25/2012	8208915
HONORABLE	CASTOR	KATHY		O	FL11	2012	5/14/2012	8205396
	CHESNUT	DEBRA SUE		O	AK00	2012	7/25/2012	8208509
	COOK	ADAM		O	VA01	2012	5/23/2012	8208380
HONORABLE	COSTA	JIM		O	CA20	2012	5/10/2012	8205414
HONORABLE	COSTELLO	JERRY F.		O	IL12	2012	5/15/2012	8205415
	COX-ALOMAR	RAFAEL		O	PR00	2012	5/21/2012	8208620
HONORABLE	CRENSHAW	ANDER		O	FL04	2012	5/15/2012	8205418
HONORABLE	CRITZ	MARK S.		A	PA12	2012	6/21/2012	8206442
HONORABLE	CUELLAR	HENRY		O	TX28	2012	5/15/2012	8205422
HONORABLE	CULBERSON	JOHN ABNEY		O	TX07	2012	5/15/2012	8205423
	DACQUISTO	MICHAEL		O	CA01	2012	5/14/2012	8208395
